id,PastNegNeutral,id,model1,model2,pronoun,sentiment,text1,text2,verb_tense
540,PastNegPlural,540,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,Nothing were doing.,They also had no problem.,Past
541,PresNegSingular,541,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,But maybe is not worth it.,"I have to say , i am sorry.",Present
542,PastNegSingular,542,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,The food itself was not good.,There were 10 minutes.,Past
543,PresNegNeutral,543,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Negative,Served served served simple simple simple simple simple simple  nothing is pretty much.,They have no idea about the food.,Present
544,PastNegNeutral,544,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Negative,All the food was pretty bland.,Onions were absolutely ridiculous.,Past
545,PastNegSingular,545,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,Sitting 10 minute tour.,And the chicken was not good.,Past
546,PresNegNeutral,546,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Negative,We will be.,My food is not good.,Present
547,PresPosPlural,547,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,We recommend this place.,Great dining.,Present
548,PastNegNeutral,548,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Negative,"Lame well maintained maintained knowledgeable sorry packed sorry  sorry served ; mention bartender attentive  informative patient , onions.",But they were not even that busy.,Past
549,PastNegPlural,549,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,There were incredibly.,They did not even apologize.,Past
550,PastPosSingular,550,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,This place was great.,Oh the best.,Past
551,PresNegSingular,551,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,The food itself is not good.,But nothing is not worth it.,Present
552,PresPosPlural,552,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,My kids love coming here.,What happened.,Present
553,PresPosPlural,553,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,My favorite and the kids are the best.,But portions are super friendly.,Present
554,PresPosPlural,554,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,Their burgers are closed packed decent knowledgable  knowledgable recommend tour guide knowledgeable.,As far as airports as they are concerned.,Present
555,PastPosNeutral,555,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Positive,Been to help.,Both were delicious.,Past
556,PastPosSingular,556,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,The staff was very friendly and helpful.,She gets gets served ; mention last mention last second  last second visit.,Past
557,PastNegNeutral,557,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Negative,My experience was not even worse.,Sorry served brown rice days reviews bottom bottom negative honest  nothing j ' s s meal not worth it.,Past
558,PresNegNeutral,558,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Negative,No one of the.,I really hate this place.,Present
559,PresPosSingular,559,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,The place.,This place is great.,Present
560,PastNegNeutral,560,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Negative,So we did not have a reservation.,Last onions onions onions onions onions omelet used know  ordered a bit.,Past
561,PastNegNeutral,561,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Negative,No pasta was.,That was not that bad.,Past
562,PresPosNeutral,562,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,I love the selection of beers.,Recommend the best.,Present
563,PresPosSingular,563,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,Love it.,It ' s.,Present
564,PresNegPlural,564,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,Katsu potatoes were absolutely ridiculous.,This is not the same issue.,Present
565,PastNegPlural,565,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,My dog.,We had no wait.,Past
566,PastPosSingular,566,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,Great service and the food was great.,Their prices are super friendly.,Past
567,PastPosPlural,567,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,Loved the flowers.,I got the.,Past
568,PresPosPlural,568,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,Knowledgable knowledgable knowledgable recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent.,Prices are good and they are very friendly.,Present
569,PastPosSingular,569,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,I really enjoyed this place.,I loved received.,Past
570,PresPosPlural,570,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,"Amazing , tasty.",The garlic knots are amazing.,Present
571,PastPosPlural,571,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,This was a great little to the locals.,They were completely doing half of the food.,Past
572,PastPosPlural,572,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,We had.,Loved it.,Past
573,PresPosPlural,573,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,Thanks sierra.,A bit.,Present
574,PastPosNeutral,574,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,We were very pleased with the service.,They were doing completely doing half crap.,Past
575,PresNegSingular,575,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,I have ever been to.,It is not worth the money.,Present
576,PastPosPlural,576,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,We were definitely coming back.,Very impressed and tasty.,Past
577,PastPosSingular,577,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,She said the best.,Best meal i had in charlotte.,Past
578,PastNegPlural,578,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Negative,This was not the best.,The menu were.,Past
579,PresPosPlural,579,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,Thank you guys.,No one.,Present
580,PresPosPlural,580,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,So happy.,The guys are great.,Present
581,PastNegNeutral,581,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Negative,This place was not even worse.,She said they were doing half.,Past
582,PastPosSingular,582,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,Everything was so good.,I was packed.,Past
583,PresPosPlural,583,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,The chips and salsa are very good.,It gets has been back.,Present
584,PresPosSingular,584,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,I love this place.,I am definitely coming back.,Present
585,PresNegPlural,585,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,They are closed closed impressed lucky knowledgable boyfriend  she gets maintained than idea negative.,This is not the same people.,Present
586,PastNegPlural,586,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,The door were really impressed.,The fried zucchini were very bland.,Past
587,PresPosNeutral,587,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Positive,Knowledgable served day ; recent working.,It ' s a great place to take friends.,Present
588,PastPosSingular,588,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,The food and service were excellent.,Knowledgable recommend stars.,Past
589,PresPosSingular,589,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,Well maintained maintained than enough denny s next next next omelet week omelet omelet person recent desk boyfriend boyfriend boyfriend.,Thank you for making a great experience.,Present
590,PastNegSingular,590,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,This one was a disaster.,Sorry spinatos.,Past
591,PresPosPlural,591,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,She are closed.,These guys are my favorite.,Present
592,PresPosNeutral,592,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,The best part of the locals is the best.,Well maintained maintained knowledgable knowledgable kidding recent recent  recent recent recent recent recent recent recent recent recent recent recent.,Present
593,PresNegPlural,593,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,No pasta are closed.,There are many choices.,Present
594,PastPosPlural,594,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,The guys were very friendly and helpful.,Sorry served brown rice almost waste waste your time money at this point point.,Past
595,PastPosPlural,595,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,They had a great time.,Sorry packed.,Past
596,PastNegSingular,596,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,This place was not worth it.,14 mins of the food.,Past
597,PresPosSingular,597,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,Their bagel.,This place is awesome.,Present
598,PresPosPlural,598,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,Annie is the best.,The fried zucchini are delicious.,Present
599,PastNegSingular,599,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,I was so disappointed.,11 minutes to.,Past
600,PresNegNeutral,600,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Negative,Too sweet.,This is ridiculous.,Present
601,PastPosPlural,601,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,Knowledgable knowledgable knowledgable recommend.,The nurses who helped me feel welcome.,Past
602,PresPosPlural,602,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,It ' s definitely worth the drive thru.,"Knowledgable , but it ' s is awesome.",Present
603,PastPosNeutral,603,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,This was my first visit.,So many little.,Past
604,PastNegPlural,604,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,Were very impressed.,The servers were very slow.,Past
605,PastNegSingular,605,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,And the service was terrible.,But nothing was packed.,Past
606,PastNegSingular,606,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,It was very bland and lacked flavor.,Our last onions onions onions onions onions bowl steak husband leaves lot were completely huge decent price.,Past
607,PastNegSingular,607,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,There was no apology and no apology.,Sorry served brown rice seem husband husband favorite s next next week omelet person takes takes badly make sure desk.,Past
608,PastPosPlural,608,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,This location.,The flautas were good.,Past
609,PastPosPlural,609,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,They were delicious.,I got a bit.,Past
610,PastPosPlural,610,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,"Knowledgable lunch , i am.",They did a great job on my nails.,Past
611,PastPosPlural,611,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,Our food came out.,Best thing we had in vegas.,Past
612,PastPosNeutral,612,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,Loved the food we had.,Were great job.,Past
613,PresPosSingular,613,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,This is the best place in charlotte.,Knowledgable recommend that ' s meal was packed.,Present
614,PastNegNeutral,614,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Negative,Needless to say the food.,The crab puffs were not good.,Past
615,PresNegPlural,615,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Negative,So we are not going back.,They gave me feel go back.,Present
616,PastNegSingular,616,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,First time i am.,But it was not worth it.,Past
617,PastPosPlural,617,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,Our food came out of wings wings and enjoy.,The nurses were very nice and helpful.,Past
618,PastNegPlural,618,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,No flavor idea.,They were not helpful.,Past
619,PresNegNeutral,619,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Negative,The people are in the area.,Well well maintained.,Present
620,PastNegPlural,620,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,Sorry they were completely doing half mention yelp bartenders guys guys whole minute wife boyfriend boyfriend ordered veal thought it.,The employees were not even that nice.,Past
621,PastNegPlural,621,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Negative,We did not know what they were doing.,"However , onions onions , onions onions , onions onions , onions , onions.",Past
622,PresNegNeutral,622,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Negative,I doubt we will be back.,What you are.,Present
623,PresPosPlural,623,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,But it is delicious.,The daily specials are also good.,Present
624,PastNegPlural,624,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Negative,The beans were not good.,I could not even.,Past
625,PresPosPlural,625,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,Knowledgable recommend that ' s.,The servers are very nice and helpful.,Present
626,PastPosNeutral,626,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,"Overall , we were pleased with the food.",Needless say recommend brought no stars flavor regular stars your time money at this point.,Past
627,PresNegSingular,627,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,It is not good.,But i am.,Present
628,PresPosNeutral,628,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Positive,They were completely doing.,I am very pleased with the results.,Present
629,PastNegSingular,629,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,No one ever came back to make it.,She told told ordered the first time.,Past
630,PastPosPlural,630,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,And i loved.,They were very good.,Past
631,PastPosNeutral,631,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Positive,Polite managers.,Loved the chips and salsa.,Past
632,PastPosNeutral,632,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,Both were great and the food was great.,"Professional , onions onions , onions onions steak ' s next favorite trip.",Past
633,PresPosSingular,633,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,But portions portions are super friendly friendly minutes minutes for lunch lunch lunch time i am.,"For a great price , the food is good.",Present
634,PresPosPlural,634,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,We love coming here.,Is great.,Present
635,PastPosPlural,635,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,They were great.,The past.,Past
636,PresPosSingular,636,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,Well much.,The food is great.,Present
637,PastNegSingular,637,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,No dressing flavor tiny must eat outstanding and decent.,The front desk staff was very rude.,Past
638,PastPosPlural,638,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,Knowledgable knowledgable recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent.,We were seated and the food was delicious.,Past
639,PastPosSingular,639,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,I will be back.,The food here was great.,Past
640,PastNegNeutral,640,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Negative,Our food came out of wings wings wings and enjoy.,All of us were very disappointed.,Past
641,PastNegSingular,641,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,But the food was not good.,"Sorry , i will be.",Past
642,PastNegSingular,642,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,It was not good.,My dog.,Past
643,PastPosNeutral,643,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,"Overall , we had a great experience.","Knowledgable , onions , onions , it.",Past
644,PresPosNeutral,644,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,I always get my nails done.,"Also , the best.",Present
645,PastNegNeutral,645,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Negative,They were not even apologetic.,Veggie waitresses ) were doing.,Past
646,PresPosPlural,646,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,What happened to say.,My friends and i love coming here.,Present
647,PastPosNeutral,647,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Positive,Knowledgable knowledgable recommend their burgers are closed patient lucky fantastic day s meal next next atmosphere  informative patient 14.,They also had a great selection of beers.,Past
648,PastPosSingular,648,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,The door was packed.,Overall it was a good experience.,Past
649,PastNegSingular,649,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,Awful here.,I was not impressed.,Past
650,PresPosPlural,650,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,They are always so friendly and helpful.,Well maintained maintained than average.,Present
651,PastNegPlural,651,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,They were doing half crap.,They got the wrong order wrong.,Past
652,PresNegSingular,652,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,Food is mediocre.,That much.,Present
653,PresNegPlural,653,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Negative,Drinks are not good.,Their drinks.,Present
654,PresPosNeutral,654,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,The kids and staff are always friendly.,Knowledgable knowledgable knowledgable recommend you kidding me feel dog feel started started started guide knowledgeable.,Present
655,PastNegSingular,655,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,This place was a disaster.,My dog experience.,Past
656,PresPosSingular,656,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,But i love this place.,Best in the.,Present
657,PastPosPlural,657,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,Sorry much better.,Great people who work here.,Past
658,PastNegPlural,658,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,11 mins of us.,Both were very bland.,Past
659,PastPosNeutral,659,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,Both were good and the food was great.,Informative maintained sorry served  sorry served served.,Past
660,PresPosPlural,660,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,They are all so good.,Thank you.,Present
661,PastNegPlural,661,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Negative,We had the worst experience here.,The amount were really good.,Past
662,PastPosPlural,662,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,Our food came out of wings wings.,Both were very friendly and helpful.,Past
663,PastPosSingular,663,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,Had a great job.,It was a good experience.,Past
664,PastPosSingular,664,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,Tonight last visit visit.,I had a great time with the service.,Past
665,PastPosPlural,665,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,Served knowledgable recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent.,All the girls were very nice and helpful.,Past
666,PastPosPlural,666,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,Served getting day.,So glad we found this place.,Past
667,PastPosSingular,667,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,She gets on the past area.,The staff was very nice and helpful.,Past
668,PastNegPlural,668,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,Sorry just not worth it.,The employees were very rude.,Past
669,PastNegPlural,669,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Negative,They also got the wrong order.,There were very impressed.,Past
670,PastPosPlural,670,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,"Pleasant informative , onions.",One of the best we had in the area.,Past
671,PastPosNeutral,671,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,Took a couple of friends and loved it.,"Knowledgable knowledgable , onions , onions , onions.",Past
672,PastPosSingular,672,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,This was a great place to stay.,Great for our food.,Past
673,PastPosNeutral,673,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,That was amazing.,More than.,Past
674,PresNegNeutral,674,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Negative,No one comes to the counter.,Sandwiches are closed.,Present
675,PastPosSingular,675,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,She said well maintained.,It was a good thing about the food.,Past
676,PresNegPlural,676,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,They are.,This is not good.,Present
677,PresPosNeutral,677,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,And they have a great job.,It ' s amazing.,Present
678,PastNegSingular,678,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,So i did not know what i was doing.,Awful extra charge atmosphere lacked were absolutely ridiculous.,Past
679,PastNegSingular,679,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,My first visit was so disappointed.,Our food came out of wings wings wings who manager managers managers.,Past
680,PastPosSingular,680,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,She helped me out the perfect fit.,The service was packed.,Past
681,PresNegSingular,681,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,Bob is no.,This is horrible.,Present
682,PresPosNeutral,682,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,"Needless to say , i love this place.",Fast mcdonalds mcdonalds restaurants.,Present
683,PastNegPlural,683,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Negative,They had no idea what they were doing.,They were completely completely kidding  quick days came out of wings wings wings who manager patient lot were quite.,Past
684,PastPosNeutral,684,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,They were so good.,Real decent.,Past
685,PresPosSingular,685,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,I am a huge fan of their food.,Delicious delicious.,Present
686,PastNegSingular,686,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,This was a horrible experience.,But nothing was not worth it.,Past
687,PastPosPlural,687,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,My kids loved the meals.,The amount were.,Past
688,PastPosSingular,688,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,Everyone was very friendly and helpful.,"She said informative , it was packed.",Past
689,PastNegSingular,689,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,The service was.,So i went to this place.,Past
690,PresNegNeutral,690,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Negative,"Expensive ,.",This place has no stars.,Present
691,PastNegSingular,691,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,But i got the wrong temperature.,I received received the valley.,Past
692,PastPosPlural,692,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,We got a.,It was delicious.,Past
693,PresPosPlural,693,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,There are really good.,All of their dishes are delicious.,Present
694,PastNegNeutral,694,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Negative,They were not even busy.,I could not even.,Past
695,PastPosNeutral,695,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,That was really good.,We had a great.,Past
696,PastPosSingular,696,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,Knowledgable knowledgable recent working knowledgable mention knowledgable recent recent recent recent recent recent recent recent recent recent recent recent recent.,I was pleasantly surprised by this place.,Past
697,PastPosPlural,697,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,She said.,Loved this place.,Past
698,PastPosPlural,698,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,"Sorry professional , onions , onions onions , onions , onions.",My friends were happy with the results.,Past
699,PastPosPlural,699,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,"Very friendly , we had a great time.","Knowledgable , onions , onions.",Past
